Array Length: 2^22

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:54,4194304,4,0,169.48,true
2024-10-25 09:12:55,4194304,5,0,177.283,true
2024-10-25 09:12:55,4194304,6,0,168.244,true
2024-10-25 09:12:55,4194304,7,0,170,true
2024-10-25 09:12:55,4194304,8,0,167.642,true
2024-10-25 09:12:55,4194304,9,0,167.778,true


Threads:,17
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:56,4194304,0,0,189.426,true
2024-10-25 09:12:56,4194304,1,0,189.025,true
2024-10-25 09:12:56,4194304,2,0,184.118,true
2024-10-25 09:12:56,4194304,3,0,178.125,true
2024-10-25 09:12:56,4194304,4,0,185.683,true
2024-10-25 09:12:57,4194304,5,0,181.882,true
2024-10-25 09:12:57,4194304,6,0,179.869,true
2024-10-25 09:12:57,4194304,7,0,186.58,true
2024-10-25 09:12:57,4194304,8,0,179.759,true
2024-10-25 09:12:57,4194304,9,0,185.388,true


Threads:,18
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:58,4194304,0,0,189.769,true
2024-10-25 09:12:58,4194304,1,0,187.346,true
2024-10-25 09:12:58,4194304,2,0,185.156,true
2024-10-25 09:12:58,4194304,3,0,182.961,true
2024-10-25 09:12:59,4194304,4,0,183.798,true
2024-10-25 09:12:59,4194304,5,0,181.232,true
2024-10-25 09:12:59,4194304,6,0,182.259,true
2024-10-25 09:12:59,4194304,7,0,184.223,true
2024-10-25 09:12:59,4194304,8,0,181.115,true
2024-10-25 09:13:00,4194304,9,0,187.84,true


Threads:,19
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:00,4194304,0,0,184.252,true
2024-10-25 09:13:00,4194304,1,0,186.751,true
2024-10-25 09:13:00,4194304,2,0,178.257,true
2024-10-25 09:13:00,4194304,3,0,178.572,true
2024-10-25 09:13:01,4194304,4,0,186.317,true
2024-10-25 09:13:01,4194304,5,0,177.516,true
2024-10-25 09:13:01,4194304,6,0,178.332,true
2024-10-25 09:13:01,4194304,7,0,180.415,true
2024-10-25 09:13:01,4194304,8,0,177.98,true
2024-10-25 09:13:02,4194304,9,0,181.331,true


Threads:,20
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:02,4194304,0,0,187.303,true
2024-10-25 09:13:02,4194304,1,0,187.604,true
2024-10-25 09:13:02,4194304,2,0,177.741,true
2024-10-25 09:13:02,4194304,3,0,184.029,true
2024-10-25 09:13:03,4194304,4,0,177.06,true
2024-10-25 09:13:03,4194304,5,0,177.213,true
2024-10-25 09:13:03,4194304,6,0,184.944,true
2024-10-25 09:13:03,4194304,7,0,178.451,true
2024-10-25 09:13:03,4194304,8,0,182.951,true
2024-10-25 09:13:04,4194304,9,0,180.763,true


Threads:,21
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:04,4194304,0,0,181.724,true
2024-10-25 09:13:04,4194304,1,0,191.916,true
2024-10-25 09:13:04,4194304,2,0,183.505,true
2024-10-25 09:13:05,4194304,3,0,183.348,true
2024-10-25 09:13:05,4194304,4,0,179.822,true
2024-10-25 09:13:05,4194304,5,0,181.849,true
2024-10-25 09:13:05,4194304,6,0,185.578,true
2024-10-25 09:13:05,4194304,7,0,179.527,true
2024-10-25 09:13:06,4194304,8,0,186.801,true
2024-10-25 09:13:06,4194304,9,0,181.283,true


Threads:,22
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:06,4194304,0,0,183.45,true
2024-10-25 09:13:06,4194304,1,0,186.692,true
2024-10-25 09:13:06,4194304,2,0,180.777,true
2024-10-25 09:13:07,4194304,3,0,187.467,true
2024-10-25 09:13:07,4194304,4,0,179.216,true
2024-10-25 09:13:07,4194304,5,0,178.96,true
2024-10-25 09:13:07,4194304,6,0,187.629,true
2024-10-25 09:13:07,4194304,7,0,185.969,true
2024-10-25 09:13:08,4194304,8,0,182.044,true
2024-10-25 09:13:08,4194304,9,0,184.417,true


Threads:,23
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:08,4194304,0,0,193.04,true
2024-10-25 09:13:08,4194304,1,0,189.443,true
2024-10-25 09:13:09,4194304,2,0,194.175,true
2024-10-25 09:13:09,4194304,3,0,186.008,true
2024-10-25 09:13:09,4194304,4,0,183.529,true
2024-10-25 09:13:09,4194304,5,0,191.905,true
2024-10-25 09:13:09,4194304,6,0,185.176,true
2024-10-25 09:13:10,4194304,7,0,191.032,true
2024-10-25 09:13:10,4194304,8,0,185.013,true
2024-10-25 09:13:10,4194304,9,0,183.488,true


Threads:,24
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:10,4194304,0,0,205.214,true
2024-10-25 09:13:10,4194304,1,0,197.912,true
2024-10-25 09:13:11,4194304,2,0,194.872,true
2024-10-25 09:13:11,4194304,3,0,195.475,true
2024-10-25 09:13:11,4194304,4,0,196.437,true
2024-10-25 09:13:11,4194304,5,0,190.63,true
2024-10-25 09:13:12,4194304,6,0,201.606,true
2024-10-25 09:13:12,4194304,7,0,189.506,true
2024-10-25 09:13:12,4194304,8,0,190.734,true
2024-10-25 09:13:12,4194304,9,0,196.208,true


Threads:,25
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:12,4194304,0,0,197.984,true
2024-10-25 09:13:13,4194304,1,0,206.423,true
2024-10-25 09:13:13,4194304,2,0,194.143,true
2024-10-25 09:13:13,4194304,3,0,198.673,true
2024-10-25 09:13:13,4194304,4,0,198.105,true
2024-10-25 09:13:14,4194304,5,0,203.335,true
2024-10-25 09:13:14,4194304,6,0,192.875,true
2024-10-25 09:13:14,4194304,7,0,196.185,true
2024-10-25 09:13:14,4194304,8,0,199.719,true
2024-10-25 09:13:14,4194304,9,0,196.581,true


Threads:,26
